云|yún|mây
人|rén|người
元|yuán|tệ
公务员|gōngwùyuán|công chức
公安|gōngān|cảnh sát
农民|nóngmín|nông dân
冰箱|bīngxiāng|tủ lạnh
医生|yīshēng|bác sĩ
厨师|chúshī|đầu bếp
司机|sījī|lái xe
吃|chī|ăn
哥哥|gēge|anh trai
奶奶|nǎinai|bà
妈妈|māma|mẹ
妹妹|mèimei|em gái
姐姐|jiějie|chị gái
山|shān|núi
工人|gōngrén|công nhân
床|chuáng|giường
弟弟|dìdi|em trai
律师|lǜshī|luật sư
手|shǒu|tay
手表|shǒubiǎo|đồng hồ
护士|hùshì|y tá
星|xīng|ngôi sao
机场|jīchǎng|sân bay
消防员|xiāofángyuán|lính cứu hỏa
演员|yǎnyuán|diễn viên
热|rè|nóng
熊|xióng|gấu
熊猫|xióngmāo|gấu trúc
爬山|páshān|leo núi
爷爷|yéye|ông
爸爸|bàba|bố
羊|yáng|cừu
船|chuán|thuyền
菜|cài|món ăn
警察|jǐngchá|cảnh sát
记者|jìzhě|phóng viên
足球|zúqiú|bóng đá
部队|bùduì|bộ đội
钟|zhōng|đồng hồ
鸡蛋|jīdàn|trứng gà
