沙发|ghế sofa|sāfā|shǎfā|*shāfā|sǎfā
商人|thương nhân|sāngrén|shàngrén|*shāngrén|shǎngrén
上课|lên lớp|sàngkè|shāngkě|*shàngkè|shǎngkē
手表|đồng hồ|sǒubiǎo|shòubiǎo|*shǒubiǎo|shòubiāo
书店|nhà sách|sūdiàn|shūdiǎn|*shūdiàn|shǔdiàn
草地|bãi cỏ|chǎodì|cǎodǐ|*cǎodì|dàodǐ
出口|cửa ra|cūkǒu|cùkǒu|*chūkǒu|chǔkòu
超市|siêu thị|cāoshì|cháoshì|*chāoshì|chǎoshì
吃饭|ăn cơm|cífàn|chífàn|*chīfàn|chǐfàn
厨房|nhà bếp|cúfáng|chǔfáng|*chúfáng|chúfán
桌子|cái bàn|zuōzi|zhōuzi|*zhuōzi|zhuōzī
中国|Trung Quốc|Zōngguó|Zhōngguǒ|*Zhōngguó|Zhǒngguò
照片|tấm ảnh|zàopiàn|zhàopiān|*zhàopiàn|zhǎobiàn
知道|biết|zīdào|zhīdǎo|*zhīdào|zhǐdǎo
中学|trung học|zōngxué|zhōngxuě|*zhōngxué|zhǒngxuè
