自己|bản thân|zhìjǐ|cìjǐ|*zìjǐ|shìjǐ
中国|Trung Quốc|zōngguó|cōngguó|*zhōngguó|sōngguó
菜单|thực đơn|zàidān|chàidān|*càidān|shàidān
长城|Vạn Lý Trường Thành|zǎngchéng|cǎngchéng|*chángchéng|cángchéng
三个|ba cái|zhāngè|chāngè|*sāngè|zāngè
上海|Thượng Hải|zànghǎi|cànghǎi|*shànghǎi|sànghǎi
早上|buổi sáng|zhǎoshàng|chǎoshàng|*zǎoshàng|sǎoshàng
真正|thật sự|zēnzhèng|cēnzhèng|*zhēnzhèng|sēnzhèng
次数|số lần|zìshù|zhìshù|*cìshù|shìshù
出生|sinh ra|zhūshēng|cūshēng|*chūshēng|sūshēng
四十|bốn mười|zhìshí|cìshí|*sìshí|zìshí
声音|âm thanh|zhēngyīn|chēngyīn|*shēngyīn|zēngyīn
作业|bài tập|zuòyě|chuòyè|*zuòyè|shuòyè
重要|quan trọng|cóngyào|sóngyào|*zhòngyào|zòngyào
厕所|nhà vệ sinh|zhèsuǒ|chèsuǒ|*cèsuǒ|shèsuǒ
